,pl_intensity_0,pl_peakev_0,pl_fwhm_0,t_bandgap_0,t_samplepresent_0,df_median_0,bf_inhomogeneity_0,name
sample0,23.628495280718724,1.6785068183996639,0.14046987280293521,,False,11.066602,0.04252571659692326,sample0
sample1,27.64215836792383,1.6819635160577295,0.11755522776519765,,False,10.981934,0.028703405978124406,sample1
sample2,22.186047343194605,1.6755301377704022,0.12477149282565625,,False,11.001856,0.03745025426620228,sample2
sample3,21.641130499297958,1.676731954656979,0.145446529454014,,False,11.021777,0.052174351640666916,sample3
sample4,44.520516971419006,1.6705322159260556,0.11830491903078853,,False,13.28789,0.16299823697584429,sample4
sample5,54.466873053579306,1.6574933969362793,0.11227127721091633,,False,13.516993,0.17608211005358065,sample5
sample6,18.089973580699066,1.6769062629080784,0.11400647723970395,,False,11.066602,0.068244240832128,sample6
sample7,20.362795126976124,1.684272701327717,0.11308551731610639,,False,11.056641,0.03744104313660083,sample7
sample8,20.354259854186694,1.6769230968440973,0.12259639763981041,,False,11.031738,0.038561668345151734,sample8
sample9,13.67135222570264,1.6755080687087232,0.14730422650144862,,False,11.006836,0.024838713628912917,sample9
sample10,20.1582991426463,1.6846137867879123,0.11516992584320532,,False,10.986914,0.0444450696384833,sample10
sample11,15.755771773698656,1.6603558563781127,0.13367645368253914,,False,10.9769535,0.0508478432762334,sample11
sample12,20.367626821309067,1.675127928259649,0.11701833286892908,,False,10.981934,0.03892320578333833,sample12
sample13,20.062487350294283,1.6780828619526507,0.12837368325091886,,False,10.966992,0.05293092770966986,sample13
sample14,16.789394350282564,1.676087238483021,0.12260582148643027,,False,11.011816,0.03224784677343132,sample14
sample15,13.258957458516765,1.681635049752735,0.12545612002614293,,True,11.001856,0.050122867517907434,sample15
sample16,20.285331251336405,1.6773601336589605,0.11631862698082548,,True,11.021777,0.031183277959098255,sample16
sample17,22.000173194114026,1.6722692579463807,0.12802637784904186,,False,11.001856,0.03235824638959541,sample17
sample18,20.092119919933133,1.682867827423646,0.1068481157735575,,True,10.991895,0.045543838627672195,sample18
sample19,18.154316431584213,1.6693769254322837,0.15098201604820613,,False,11.056641,0.04836771517185687,sample19
sample20,17.488834841772416,1.6746720247701037,0.137833089366153,,False,11.021777,0.046873303026877,sample20
sample21,22.380572664113718,1.6762232210961132,0.12400327938701906,,False,11.021777,0.04917986944952102,sample21
sample22,15.531102201896676,1.6844182706003514,0.15254879898382048,,True,11.021777,0.07441980433733543,sample22
sample23,21.41911389159152,1.6757751178082332,0.14407572661552986,,False,11.011816,0.0514140130586196,sample23
sample24,15.645360768131637,1.6758053766781567,0.1270987969098102,,True,11.056641,0.05707983736871408,sample24
sample25,19.22977930156603,1.6709299549761218,0.09601924849826461,,False,11.006836,0.05118757467134218,sample25
sample26,14.770285259647885,1.6709569250544607,0.1505681043943338,,False,11.021777,0.03669090344227784,sample26
sample27,18.201573824071467,1.6749213307247255,0.13282718022289688,,False,11.006836,0.03824476596458475,sample27
sample28,17.768096970712968,1.6730798043940887,0.143172694774391,,False,11.016797,0.03270388333625609,sample28
sample29,17.3908429477693,1.6777342850934616,0.13142682268186762,,False,11.016797,0.04411376017751545,sample29
sample30,15.687374633963662,1.677560687562233,0.1280052447100766,,False,11.041699,0.039597644992068574,sample30
sample31,13.154248815582513,1.6634082638007635,0.14573419521476202,,False,11.0466795,0.028134663320158862,sample31
sample32,18.788239221633603,1.6726654633459892,0.15396207604091727,,False,11.076563,0.03586604271749482,sample32
sample33,19.942368176904637,1.6793719475782587,0.1337271671261115,,False,11.086523,0.03892797564068587,sample33
sample34,18.14879938840382,1.675658960969096,0.16302567830275894,,False,11.066602,0.04775527531459304,sample34
sample35,16.7017179906653,1.6818363332620108,0.11507392876420645,,False,11.076563,0.07335625767587071,sample35
sample36,13.722113443019,1.6747315738991917,0.12129952754377066,,False,11.101465,0.044198038691511864,sample36
sample37,14.366601225370076,1.6793532216872238,0.1531825981498991,,False,11.086523,0.03257233512545851,sample37
sample38,16.59617200239186,1.6837871784011953,0.14173013012026994,,False,11.006836,0.06963030854878106,sample38
sample39,14.662883412859854,1.6649499918273527,0.1544697870222557,,False,11.126368,0.03791001592582939,sample39
sample40,2.776891944874921,1.2303545219150709,0.04710000000000003,,False,11.121387,0.045056947021480886,sample40
sample41,7.413777048585942,1.628219602122591,0.2801860503669058,,False,11.858496,0.08331960279545252,sample41
sample42,187.87203119310368,2.036628897282085,0.41786020761635617,,False,10.797656,0.05638888137286908,sample42
sample43,183.97283640772926,2.036628897282085,0.41981642763406357,,False,10.777735,0.03419433006475418,sample43
